2026-01-05 19:13:52,790 | INFO | Process-6 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w52.cnf
2026-01-05 19:13:56,133 | INFO | Process-6 | [PAINLESS] status=SAT rc=10 time=3.34s
2026-01-05 19:13:56,133 | RESULT | Process-6 | [PAINLESS] result: status=SAT time=3.34s rc=10
2026-01-05 19:13:56,133 | RESULT | Process-6 | [PAINLESS] Shortcut: SAT at width=52
2026-01-05 19:13:56,133 | RESULT | Process-6 | Time taken: 5.820210695266724 seconds
2026-01-05 19:13:56,244 | INFO | MainProcess | Found a solution 52
2026-01-05 19:13:56,245 | INFO | MainProcess | [Test k=221, w=52] Time: 5.93 seconds
2026-01-05 19:13:57,623 | INFO | Process-7 | Number of variables: 375277
2026-01-05 19:13:57,623 | INFO | Process-7 | Number of clauses: 1857838
2026-01-05 19:13:57,623 | INFO | Process-7 | Real nums of clauses: 1859150
2026-01-05 19:13:57,623 | INFO | Process-7 | Real nums of variables: 375275
2026-01-05 19:13:58,571 | INFO | Process-7 | CNF written to cnf/v2/O_n425_k221/O_n425_k221_w53.cnf
2026-01-05 19:13:58,571 | INFO | Process-7 | [PAINLESS] Running: ./painless/build/release/painless_release -c=4 -solver=cckk -no-model cnf/v2/O_n425_k221/O_n425_k221_w53.cnf
2026-01-05 19:14:01,495 | INFO | Process-7 | [PAINLESS] status=SAT rc=10 time=2.92s
2026-01-05 19:14:01,496 | RESULT | Process-7 | [PAINLESS] result: status=SAT time=2.92s rc=10
2026-01-05 19:14:01,496 | RESULT | Process-7 | [PAINLESS] Shortcut: SAT at width=53
2026-01-05 19:14:01,496 | RESULT | Process-7 | Time taken: 5.2494776248931885 seconds
2026-01-05 19:14:01,639 | INFO | MainProcess | Found a solution 53
2026-01-05 19:14:01,639 | INFO | MainProcess | [Test k=221, w=53] Time: 5.39 seconds
2026-01-05 19:14:03,249 | INFO | Process-8 | Number of variables: 375277
