2026-01-05 01:24:50,801 | RESULT | Process-7 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-05 01:24:50,825 | INFO | MainProcess | Found a solution 9
2026-01-05 01:24:50,825 | INFO | MainProcess | [Test k=21, w=9] Time: 0.38 seconds
2026-01-05 01:24:51,163 | INFO | Process-8 | Number of variables: 2420
2026-01-05 01:24:51,163 | INFO | Process-8 | Number of clauses: 7491
2026-01-05 01:24:51,163 | INFO | Process-8 | Real nums of clauses: 7492
2026-01-05 01:24:51,163 | INFO | Process-8 | Real nums of variables: 2418
2026-01-05 01:24:51,167 | INFO | Process-8 | CNF written to cnf/v2\C_n39_k21\C_n39_k21_w10.cnf
2026-01-05 01:24:51,167 | ERROR | Process-8 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-05 01:24:51,196 | RESULT | Process-8 | [VALIDATE][PYSAT] True | VALID SOLUTION
2026-01-05 01:24:51,221 | INFO | MainProcess | Found a solution 10
2026-01-05 01:24:51,221 | INFO | MainProcess | [Test k=21, w=10] Time: 0.39 seconds
2026-01-05 01:24:51,559 | INFO | Process-9 | Number of variables: 2420
2026-01-05 01:24:51,559 | INFO | Process-9 | Number of clauses: 7157
2026-01-05 01:24:51,559 | INFO | Process-9 | Real nums of clauses: 7584
2026-01-05 01:24:51,559 | INFO | Process-9 | Real nums of variables: 2418
2026-01-05 01:24:51,564 | INFO | Process-9 | CNF written to cnf/v2\C_n39_k21\C_n39_k21_w11.cnf
2026-01-05 01:24:51,564 | ERROR | Process-9 | Some thing wrong with PAINLESS, Solving with PySAT...
2026-01-05 01:24:51,564 | RESULT | Process-9 | No solution exists
2026-01-05 01:24:51,564 | RESULT | Process-9 | Time taken: 0.01099848747253418 seconds
2026-01-05 01:24:51,590 | INFO | MainProcess | No solution found 11
2026-01-05 01:24:51,590 | INFO | MainProcess | [Test k=21, w=11] Time: 0.37 seconds
2026-01-05 01:24:51,590 | INFO | MainProcess | $$$$
2026-01-05 01:24:51,590 | INFO | MainProcess | 10
